product_id,source,source_url,retrieved_utc,sha256,file_size_bytes,selection_reason,licence_or_terms
euclid_q1_nisp_catalogue_tile102160061,IRSA/Euclid-Q1,https://irsa.ipac.caltech.edu,2026-07-14T20:35:02.678788+00:00,ac88bfd1d6c8b84a676f1213dc8fcfc68f8b002dc9762d0d033ca663a81b70c3,148857,"deterministic TOP 800 join of spe_quality + spe_galaxy_candidates + mer_catalogue, ORDER BY object_id, grism=RGS, tileid=102160061","Euclid Q1 public data release (ESA Euclid Consortium), mirrored by IRSA/IPAC; standard IRSA archive usage terms apply, https://irsa.ipac.caltech.edu/holdings/copyright.html"
euclid_q1_nisp_spectrum_2718733251673981545,IRSA/Euclid-Q1,https://irsa.ipac.caltech.edu/api/spectrumdm/convert/euclid/q1/SIR/102160061/EUC_SIR_W-COMBSPEC_102160061_2024-11-05T17:32:03.893290Z.fits?dataset_id=euclid_combspec&hdu=2,2026-07-14T20:35:02.678788+00:00,1e701b00c3e8182d458fa8a642a7699c502da72e7daa761936b298750b234b85,102129,deterministic sorted subset (first 40 object_id values) of tile 102160061 catalogue sample; obs_publisher_did=ivo://ipac.irsa/euclid_sir_combined?102160061/2718733251673981545,"Euclid Q1 public data release (ESA Euclid Consortium), mirrored by IRSA/IPAC; standard IRSA archive usage terms apply, https://irsa.ipac.caltech.edu/holdings/copyright.html"
euclid_q1_nisp_spectrum_2718735808673947466,IRSA/Euclid-Q1,https://irsa.ipac.caltech.edu/api/spectrumdm/convert/euclid/q1/SIR/102160061/EUC_SIR_W-COMBSPEC_102160061_2024-11-05T17:32:03.893290Z.fits?dataset_id=euclid_combspec&hdu=12,2026-07-14T20:35:02.678788+00:00,c2b374d8a1a9be7eecc0765044048d06fbceff337b5bd83fb42546f821fd1c13,105837,deterministic sorted subset (first 40 object_id values) of tile 102160061 catalogue sample; obs_publisher_did=ivo://ipac.irsa/euclid_sir_combined?102160061/2718735808673947466,"Euclid Q1 public data release (ESA Euclid Consortium), mirrored by IRSA/IPAC; standard IRSA archive usage terms apply, https://irsa.ipac.caltech.edu/holdings/copyright.html"
euclid_q1_nisp_spectrum_2718870305673869618,IRSA/Euclid-Q1,https://irsa.ipac.caltech.edu/api/spectrumdm/convert/euclid/q1/SIR/102160061/EUC_SIR_W-COMBSPEC_102160061_2024-11-05T17:32:03.893290Z.fits?dataset_id=euclid_combspec&hdu=22,2026-07-14T20:35:02.678788+00:00,fca9abf631e12ff20486b52a4c5fec88f35555c173677dc25f272e3acc0a675e,107804,deterministic sorted subset (first 40 object_id values) of tile 102160061 catalogue sample; obs_publisher_did=ivo://ipac.irsa/euclid_sir_combined?102160061/2718870305673869618,"Euclid Q1 public data release (ESA Euclid Consortium), mirrored by IRSA/IPAC; standard IRSA archive usage terms apply, https://irsa.ipac.caltech.edu/holdings/copyright.html"
euclid_q1_nisp_spectrum_2719162396675842002,IRSA/Euclid-Q1,https://irsa.ipac.caltech.edu/api/spectrumdm/convert/euclid/q1/SIR/102160061/EUC_SIR_W-COMBSPEC_102160061_2024-11-05T17:38:46.908680Z.fits?dataset_id=euclid_combspec&hdu=2,2026-07-14T20:35:02.678788+00:00,4cc72000cb3a71eff98d812536cd03fdcc3181e098b47222c11047f0acb59cba,108615,deterministic sorted subset (first 40 object_id values) of tile 102160061 catalogue sample; obs_publisher_did=ivo://ipac.irsa/euclid_sir_combined?102160061/2719162396675842002,"Euclid Q1 public data release (ESA Euclid Consortium), mirrored by IRSA/IPAC; standard IRSA archive usage terms apply, https://irsa.ipac.caltech.edu/holdings/copyright.html"
euclid_q1_nisp_spectrum_2719173931675812807,IRSA/Euclid-Q1,https://irsa.ipac.caltech.edu/api/spectrumdm/convert/euclid/q1/SIR/102160061/EUC_SIR_W-COMBSPEC_102160061_2024-11-05T17:38:26.071761Z.fits?dataset_id=euclid_combspec&hdu=4,2026-07-14T20:35:02.678788+00:00,a7f6a9b4b4662fdb54e65efeba6d033c52401441c8fc099b8e43fdf3e6618344,108540,deterministic sorted subset (first 40 object_id values) of tile 102160061 catalogue sample; obs_publisher_did=ivo://ipac.irsa/euclid_sir_combined?102160061/2719173931675812807,"Euclid Q1 public data release (ESA Euclid Consortium), mirrored by IRSA/IPAC; standard IRSA archive usage terms apply, https://irsa.ipac.caltech.edu/holdings/copyright.html"
euclid_q1_nisp_spectrum_2719182235676024229,IRSA/Euclid-Q1,https://irsa.ipac.caltech.edu/api/spectrumdm/convert/euclid/q1/SIR/102160061/EUC_SIR_W-COMBSPEC_102160061_2024-11-05T17:39:45.731873Z.fits?dataset_id=euclid_combspec&hdu=2,2026-07-14T20:35:02.678788+00:00,5386c0f3fa34cabbd69e28416b5a24607abf2eae843ea167b44a9cdd3ace9e14,107385,deterministic sorted subset (first 40 object_id values) of tile 102160061 catalogue sample; obs_publisher_did=ivo://ipac.irsa/euclid_sir_combined?102160061/2719182235676024229,"Euclid Q1 public data release (ESA Euclid Consortium), mirrored by IRSA/IPAC; standard IRSA archive usage terms apply, https://irsa.ipac.caltech.edu/holdings/copyright.html"
euclid_q1_nisp_spectrum_2719187343674278800,IRSA/Euclid-Q1,https://irsa.ipac.caltech.edu/api/spectrumdm/convert/euclid/q1/SIR/102160061/EUC_SIR_W-COMBSPEC_102160061_2024-11-05T17:32:26.287937Z.fits?dataset_id=euclid_combspec&hdu=12,2026-07-14T20:35:02.678788+00:00,faeca58aab224497e5453c4cbd2506b48a58a5260ed814e839b2fcc9a8f06039,107387,deterministic sorted subset (first 40 object_id values) of tile 102160061 catalogue sample; obs_publisher_did=ivo://ipac.irsa/euclid_sir_combined?102160061/2719187343674278800,"Euclid Q1 public data release (ESA Euclid Consortium), mirrored by IRSA/IPAC; standard IRSA archive usage terms apply, https://irsa.ipac.caltech.edu/holdings/copyright.html"
euclid_q1_nisp_spectrum_2719190142673347556,IRSA/Euclid-Q1,https://irsa.ipac.caltech.edu/api/spectrumdm/convert/euclid/q1/SIR/102160061/EUC_SIR_W-COMBSPEC_102160061_2024-11-05T17:26:58.699133Z.fits?dataset_id=euclid_combspec&hdu=2,2026-07-14T20:35:02.678788+00:00,4928fdb2af599a0aa3fa41cc38f249f8f4099ce6947061d081b91f4856db1513,108604,deterministic sorted subset (first 40 object_id values) of tile 102160061 catalogue sample; obs_publisher_did=ivo://ipac.irsa/euclid_sir_combined?102160061/2719190142673347556,"Euclid Q1 public data release (ESA Euclid Consortium), mirrored by IRSA/IPAC; standard IRSA archive usage terms apply, https://irsa.ipac.caltech.edu/holdings/copyright.html"
euclid_q1_nisp_spectrum_2719193199675999324,IRSA/Euclid-Q1,https://irsa.ipac.caltech.edu/api/spectrumdm/convert/euclid/q1/SIR/102160061/EUC_SIR_W-COMBSPEC_102160061_2024-11-05T17:39:24.032560Z.fits?dataset_id=euclid_combspec&hdu=6,2026-07-14T20:35:02.678788+00:00,c30b6d2f007ba2704fd4b1b0984a25b9e16589f9e082087946f2d905a45ddd04,105781,deterministic sorted subset (first 40 object_id values) of tile 102160061 catalogue sample; obs_publisher_did=ivo://ipac.irsa/euclid_sir_combined?102160061/2719193199675999324,"Euclid Q1 public data release (ESA Euclid Consortium), mirrored by IRSA/IPAC; standard IRSA archive usage terms apply, https://irsa.ipac.caltech.edu/holdings/copyright.html"
euclid_q1_nisp_spectrum_2719202721673380070,IRSA/Euclid-Q1,https://irsa.ipac.caltech.edu/api/spectrumdm/convert/euclid/q1/SIR/102160061/EUC_SIR_W-COMBSPEC_102160061_2024-11-05T17:27:16.656975Z.fits?dataset_id=euclid_combspec&hdu=2,2026-07-14T20:35:02.678788+00:00,4f9ee40fb01d6dc4fc5de4ed3445fbaaf558f5b3e98ee4352b68f3187ae2496a,108976,deterministic sorted subset (first 40 object_id values) of tile 102160061 catalogue sample; obs_publisher_did=ivo://ipac.irsa/euclid_sir_combined?102160061/2719202721673380070,"Euclid Q1 public data release (ESA Euclid Consortium), mirrored by IRSA/IPAC; standard IRSA archive usage terms apply, https://irsa.ipac.caltech.edu/holdings/copyright.html"
euclid_q1_nisp_spectrum_2719204177676139493,IRSA/Euclid-Q1,https://irsa.ipac.caltech.edu/api/spectrumdm/convert/euclid/q1/SIR/102160061/EUC_SIR_W-COMBSPEC_102160061_2024-11-05T17:40:22.366568Z.fits?dataset_id=euclid_combspec&hdu=2,2026-07-14T20:35:02.678788+00:00,fe823008d5f39243d765e15ca5cc753a534f12f8cadc7cf63b57cc5c4f152099,108370,deterministic sorted subset (first 40 object_id values) of tile 102160061 catalogue sample; obs_publisher_did=ivo://ipac.irsa/euclid_sir_combined?102160061/2719204177676139493,"Euclid Q1 public data release (ESA Euclid Consortium), mirrored by IRSA/IPAC; standard IRSA archive usage terms apply, https://irsa.ipac.caltech.edu/holdings/copyright.html"
euclid_q1_nisp_spectrum_2719208869673090287,IRSA/Euclid-Q1,https://irsa.ipac.caltech.edu/api/spectrumdm/convert/euclid/q1/SIR/102160061/EUC_SIR_W-COMBSPEC_102160061_2024-11-05T17:25:55.623369Z.fits?dataset_id=euclid_combspec&hdu=5,2026-07-14T20:35:02.678788+00:00,72e355b6b3a1760445f0215b7c13b4e34ffcdf6b130c64c68d5925ed1787bd8c,108421,deterministic sorted subset (first 40 object_id values) of tile 102160061 catalogue sample; obs_publisher_did=ivo://ipac.irsa/euclid_sir_combined?102160061/2719208869673090287,"Euclid Q1 public data release (ESA Euclid Consortium), mirrored by IRSA/IPAC; standard IRSA archive usage terms apply, https://irsa.ipac.caltech.edu/holdings/copyright.html"
euclid_q1_nisp_spectrum_2719208996673613780,IRSA/Euclid-Q1,https://irsa.ipac.caltech.edu/api/spectrumdm/convert/euclid/q1/SIR/102160061/EUC_SIR_W-COMBSPEC_102160061_2024-11-05T17:28:15.821511Z.fits?dataset_id=euclid_combspec&hdu=3,2026-07-14T20:35:02.678788+00:00,43b8a47372d90e5ff3c2098edb426ffd123b781ec3c11f45ee885f95e77786a5,108982,deterministic sorted subset (first 40 object_id values) of tile 102160061 catalogue sample; obs_publisher_did=ivo://ipac.irsa/euclid_sir_combined?102160061/2719208996673613780,"Euclid Q1 public data release (ESA Euclid Consortium), mirrored by IRSA/IPAC; standard IRSA archive usage terms apply, https://irsa.ipac.caltech.edu/holdings/copyright.html"
euclid_q1_nisp_spectrum_2719209273673211620,IRSA/Euclid-Q1,https://irsa.ipac.caltech.edu/api/spectrumdm/convert/euclid/q1/SIR/102160061/EUC_SIR_W-COMBSPEC_102160061_2024-11-05T17:26:27.177722Z.fits?dataset_id=euclid_combspec&hdu=2,2026-07-14T20:35:02.678788+00:00,41f9a82438fbc761f50c58f2b2f6a230ea4367a6397dbe2b628c9a4942a9247f,107471,deterministic sorted subset (first 40 object_id values) of tile 102160061 catalogue sample; obs_publisher_did=ivo://ipac.irsa/euclid_sir_combined?102160061/2719209273673211620,"Euclid Q1 public data release (ESA Euclid Consortium), mirrored by IRSA/IPAC; standard IRSA archive usage terms apply, https://irsa.ipac.caltech.edu/holdings/copyright.html"
euclid_q1_nisp_spectrum_2719209561675973117,IRSA/Euclid-Q1,https://irsa.ipac.caltech.edu/api/spectrumdm/convert/euclid/q1/SIR/102160061/EUC_SIR_W-COMBSPEC_102160061_2024-11-05T17:39:24.032560Z.fits?dataset_id=euclid_combspec&hdu=18,2026-07-14T20:35:02.678788+00:00,fcf8fad09ad4f2d24dfbfbd76c9096ffbd16804e25981b66a34a18a75d1908ec,108966,deterministic sorted subset (first 40 object_id values) of tile 102160061 catalogue sample; obs_publisher_did=ivo://ipac.irsa/euclid_sir_combined?102160061/2719209561675973117,"Euclid Q1 public data release (ESA Euclid Consortium), mirrored by IRSA/IPAC; standard IRSA archive usage terms apply, https://irsa.ipac.caltech.edu/holdings/copyright.html"
euclid_q1_nisp_spectrum_2719213928676358555,IRSA/Euclid-Q1,https://irsa.ipac.caltech.edu/api/spectrumdm/convert/euclid/q1/SIR/102160061/EUC_SIR_W-COMBSPEC_102160061_2024-11-05T17:41:15.765532Z.fits?dataset_id=euclid_combspec&hdu=3,2026-07-14T20:35:02.678788+00:00,ed0eb86ff3ac8dfa990cab36d163a0c3cd0136cb1d10dbb491c486d49539834f,108830,deterministic sorted subset (first 40 object_id values) of tile 102160061 catalogue sample; obs_publisher_did=ivo://ipac.irsa/euclid_sir_combined?102160061/2719213928676358555,"Euclid Q1 public data release (ESA Euclid Consortium), mirrored by IRSA/IPAC; standard IRSA archive usage terms apply, https://irsa.ipac.caltech.edu/holdings/copyright.html"
euclid_q1_nisp_spectrum_2719215018676401530,IRSA/Euclid-Q1,https://irsa.ipac.caltech.edu/api/spectrumdm/convert/euclid/q1/SIR/102160061/EUC_SIR_W-COMBSPEC_102160061_2024-11-05T16:32:23.764243Z.fits?dataset_id=euclid_combspec&hdu=2,2026-07-14T20:35:02.678788+00:00,dbc2f8a9044eb6487efc3db2028d2ef05ef13b0e3febf3d6fbce4756a4a129e4,108050,deterministic sorted subset (first 40 object_id values) of tile 102160061 catalogue sample; obs_publisher_did=ivo://ipac.irsa/euclid_sir_combined?102160061/2719215018676401530,"Euclid Q1 public data release (ESA Euclid Consortium), mirrored by IRSA/IPAC; standard IRSA archive usage terms apply, https://irsa.ipac.caltech.edu/holdings/copyright.html"
euclid_q1_nisp_spectrum_2719217940675990884,IRSA/Euclid-Q1,https://irsa.ipac.caltech.edu/api/spectrumdm/convert/euclid/q1/SIR/102160061/EUC_SIR_W-COMBSPEC_102160061_2024-11-05T16:32:23.764243Z.fits?dataset_id=euclid_combspec&hdu=12,2026-07-14T20:35:02.678788+00:00,47a8ad6b6caf5789bce6f8cbd85dcaa33285e79c0eb6fd1722708204be4d3580,107366,deterministic sorted subset (first 40 object_id values) of tile 102160061 catalogue sample; obs_publisher_did=ivo://ipac.irsa/euclid_sir_combined?102160061/2719217940675990884,"Euclid Q1 public data release (ESA Euclid Consortium), mirrored by IRSA/IPAC; standard IRSA archive usage terms apply, https://irsa.ipac.caltech.edu/holdings/copyright.html"
euclid_q1_nisp_spectrum_2719220445673888132,IRSA/Euclid-Q1,https://irsa.ipac.caltech.edu/api/spectrumdm/convert/euclid/q1/SIR/102160061/EUC_SIR_W-COMBSPEC_102160061_2024-11-05T17:29:19.949414Z.fits?dataset_id=euclid_combspec&hdu=2,2026-07-14T20:35:02.678788+00:00,f272293bedc8d9944a4478545cd2c97298d098f06eeed270f3a4227c225a211b,107350,deterministic sorted subset (first 40 object_id values) of tile 102160061 catalogue sample; obs_publisher_did=ivo://ipac.irsa/euclid_sir_combined?102160061/2719220445673888132,"Euclid Q1 public data release (ESA Euclid Consortium), mirrored by IRSA/IPAC; standard IRSA archive usage terms apply, https://irsa.ipac.caltech.edu/holdings/copyright.html"
euclid_q1_nisp_spectrum_2719222117673408605,IRSA/Euclid-Q1,https://irsa.ipac.caltech.edu/api/spectrumdm/convert/euclid/q1/SIR/102160061/EUC_SIR_W-COMBSPEC_102160061_2024-11-05T17:48:29.605489Z.fits?dataset_id=euclid_combspec&hdu=11,2026-07-14T20:35:02.678788+00:00,d5eae4ade1f76608363a010a9e7f0664fcb731942fcb522734ab6e4d37d01e25,109291,deterministic sorted subset (first 40 object_id values) of tile 102160061 catalogue sample; obs_publisher_did=ivo://ipac.irsa/euclid_sir_combined?102160061/2719222117673408605,"Euclid Q1 public data release (ESA Euclid Consortium), mirrored by IRSA/IPAC; standard IRSA archive usage terms apply, https://irsa.ipac.caltech.edu/holdings/copyright.html"
